Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015996,0.012,0.000113895,0.09,0,1,0,0.083333333,28.93549311,28.93549311,37.61614104,-5.413218574,-0.347151629,0,0,0.00226328,0.153599243,0.076923077,0.999886105,0.999886105,0.999886105,0.001347535,28.84703534,0.00328554,0,0.153599243,0,0,0.065141474,28.8437498,0.006009115,2.910910607,0.000331539,0,25.86202015,0,0
2,1,2,57,0.0015996,0.012,0.000113781,0.09,0,1,0,0.083333333,,28.8437498,37.61185674,-5.413218574,-0.347151629,0.000262875,0,0.00226328,0.153581748,0.076923077,0.999623374,0.999623374,0.999623374,0.001347382,28.75510193,0.003271514,0.006878146,0.153581748,0,0.000680256,0.064933873,28.74427201,0.00598839,0,0.001096199,0,-0.168623599,0,0
3,1,3,57,0.0015996,0.012,0.000113666,0.09,0,1,0,0.083333333,,28.74427201,37.59769115,-5.413218574,-0.351764551,0.000261664,0,0.00226328,0.153523906,0.076923077,0.9996247,0.9996247,0.9996247,0.001346874,28.65545696,0.003256897,0.006822721,0.153523906,0,0.000674775,0.064708858,28.64470257,0.005967646,0,0.001091929,0,-0.168479242,0,0
4,1,4,57,0.0015996,0.012,0.000113552,0.09,0,1,0,0.083333333,,28.64470257,37.58358073,-5.413218574,-0.356416387,0.000260447,0,0.00226328,0.153466288,0.076923077,0.99962603,0.99962603,0.99962603,0.001346369,28.55571992,0.003242297,0.006767376,0.153466288,0,0.000669301,0.064483635,28.54504094,0.005946884,0,0.00108765,0,-0.168335194,0,0
5,1,5,57,0.0015996,0.012,0.000113438,0.09,0,1,0,0.083333333,,28.54504094,37.56952561,-5.413218574,-0.361107621,0.000259227,0,0.00226328,0.153408896,0.076923077,0.999627365,0.999627365,0.999627365,0.001345866,28.45589025,0.003227711,0.006712111,0.153408896,0,0.000663835,0.064258203,28.44528659,0.005926101,0,0.001083363,0,-0.168191457,0,0
6,1,6,57,0.0015996,0.012,0.000113323,0.09,0,1,0,0.083333333,,28.44528659,37.5555259,-5.413218574,-0.365838741,0.000258001,0,0.00226328,0.153351731,0.076923077,0.999628704,0.999628704,0.999628704,0.001345364,28.35596742,0.003213141,0.006656928,0.153351731,0,0.000658378,0.06403256,28.34543898,0.0059053,0,0.001079067,0,-0.168048034,0,0
7,1,7,57,0.0015996,0.012,0.000113209,0.09,0,1,0,0.083333333,,28.34543898,37.54158169,-5.413218574,-0.370610248,0.000256772,0,0.00226328,0.153294792,0.076923077,0.999630048,0.999630048,0.999630048,0.001344864,28.25595089,0.003198587,0.006601829,0.153294792,0,0.000652928,0.063806706,28.24549755,0.005884479,0,0.000537381,0,-0.168442305,0,0
8,1,8,57,0.0015996,0.012,0.000113095,0.09,0,1,0,0.083333333,,28.24549755,37.52769311,-5.413218574,-0.375422648,0.000255537,0,0.00226328,0.15323808,0.076923077,0.999631396,0.999631396,0.999631396,0.001344367,28.1558401,0.003184048,0.006546813,0.15323808,0,0.000647487,0.063580639,28.14546176,0.005863638,0,0.000535225,0,-0.168297354,0,0
9,1,9,57,0.0015996,0.012,0.000112982,0.09,0,1,0,0.083333333,,28.14546176,37.51386026,-5.413218574,-0.380276456,0.000254298,0,0.00226328,0.153181596,0.076923077,0.999632749,0.999632749,0.999632749,0.001343871,28.05563452,0.003169524,0.006491883,0.153181596,0,0.000642054,0.063354358,28.04533106,0.005842777,0,0.000533064,0,-0.168152717,0,0
10,1,10,57,0.0015996,0.012,0.000112868,0.09,0,1,0,0.083333333,,28.04533106,37.50008326,-5.413218574,-0.385172197,0.000253054,0,0.00226328,0.15312534,0.076923077,0.999634106,0.999634106,0.999634106,0.001343378,27.95533358,0.003155016,0.006437039,0.15312534,0,0.00063663,0.063127861,27.94510489,0.005821897,0,0.000530899,0,-0.168008393,0,0
11,1,11,57,0.0015996,0.012,0.000112754,0.09,0,1,0,0.083333333,,27.94510489,37.48636221,-5.413218574,-0.390110404,0.000251806,0,0.00226328,0.153069312,0.076923077,0.999635468,0.999635468,0.999635468,0.001342886,27.85493673,0.003140523,0.006382284,0.153069312,0,0.000631215,0.062901148,27.84478271,0.005800996,0,0.00052873,0,-0.167864386,0,0
12,1,12,57,0.0015996,0.012,0.000112641,0.09,0,1,0,0.083333333,,27.84478271,37.47269722,-5.413218574,-0.395091619,0.000250553,0.015,0.00226328,0.153013514,0.076923077,0.979457602,0.999636834,0.999636834,0.001342397,27.75444341,0.003125168,0.006325843,0.153013514,0.560066175,0.000625633,0.062674217,27.18430059,0.005663396,0,0.000526556,0,-0.167601365,0,0
13,2,1,58,0.0018,0.012,0.000126635,0.09,0.05,1,0,0.083333333,,27.18430059,37.45908841,-4.983738106,-0.400116393,0.000383315,0,0.00226328,0.152957944,0.071428571,0.999490098,0.999490098,0.999490098,0.001341909,27.09252213,0.003430537,0.009496152,0.152957944,0,0.00088783,0.061179488,27.07870761,0.005641397,0,0,0.135921503,-0.307447534,0,0
