Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015996,0.012,0.000113895,0.09,0,1,0,0.083333333,67.46858016,67.46858016,87.70915421,-5.413218574,-0.347151629,0,0,0.00226328,0.358145713,0.076923077,0.999886105,0.999886105,0.999886105,0.002847596,67.26232413,0.007660858,0,0.358145713,0,0,0.15188968,67.25466327,0.014011388,6.787339164,0.000773046,0,60.30219608,0,0
2,1,2,57,0.0015996,0.012,0.000113781,0.09,0,1,0,0.083333333,,67.25466327,87.69916455,-5.413218574,-0.347151629,0.000262875,0,0.00226328,0.358104922,0.076923077,0.999623374,0.999623374,0.999623374,0.002847272,67.04796397,0.007628154,0.016037699,0.358104922,0,0.001586146,0.151405619,67.02271197,0.013963065,0,0.002555997,0,-0.393177844,0,0
3,1,3,57,0.0015996,0.012,0.000113666,0.09,0,1,0,0.083333333,,67.02271197,87.66613478,-5.413218574,-0.351764551,0.000261664,0,0.00226328,0.35797005,0.076923077,0.9996247,0.9996247,0.9996247,0.0028462,66.81562287,0.007594073,0.015908466,0.35797005,0,0.001573365,0.150880953,66.79054697,0.013914697,0,0.002546039,0,-0.392841248,0,0
4,1,4,57,0.0015996,0.012,0.000113552,0.09,0,1,0,0.083333333,,66.79054697,87.63323368,-5.413218574,-0.356416387,0.000260447,0,0.00226328,0.357835704,0.076923077,0.99962603,0.99962603,0.99962603,0.002845132,66.58306706,0.007560028,0.015779418,0.357835704,0,0.001560602,0.150355803,66.55816702,0.013866285,0,0.002536062,0,-0.392505373,0,0
5,1,5,57,0.0015996,0.012,0.000113438,0.09,0,1,0,0.083333333,,66.55816702,87.6004615,-5.413218574,-0.361107621,0.000259227,0,0.00226328,0.357701884,0.076923077,0.999627365,0.999627365,0.999627365,0.002844068,66.3502953,0.00752602,0.015650558,0.357701884,0,0.001547857,0.149830165,66.32557086,0.013817827,0,0.002526065,0,-0.392170225,0,0
6,1,6,57,0.0015996,0.012,0.000113323,0.09,0,1,0,0.083333333,,66.32557086,87.56781852,-5.413218574,-0.365838741,0.000258001,0,0.00226328,0.357568592,0.076923077,0.999628704,0.999628704,0.999628704,0.002843008,66.11730631,0.007492048,0.015521889,0.357568592,0,0.001535132,0.149304037,66.09275724,0.013769324,0,0.002516049,0,-0.391835805,0,0
7,1,7,57,0.0015996,0.012,0.000113209,0.09,0,1,0,0.083333333,,66.09275724,87.53530497,-5.413218574,-0.370610248,0.000256772,0,0.00226328,0.357435829,0.076923077,0.999630048,0.999630048,0.999630048,0.002841952,65.88409882,0.007458111,0.015393413,0.357435829,0,0.001522425,0.148777415,65.85972487,0.013720776,0,0.001253006,0,-0.392755123,0,0
8,1,8,57,0.0015996,0.012,0.000113095,0.09,0,1,0,0.083333333,,65.85972487,87.50292111,-5.413218574,-0.375422648,0.000255537,0,0.00226328,0.357303595,0.076923077,0.999631396,0.999631396,0.999631396,0.002840901,65.65067158,0.007424211,0.015265134,0.357303595,0,0.001509739,0.148250297,65.62647249,0.013672182,0,0.001247978,0,-0.392417143,0,0
9,1,9,57,0.0015996,0.012,0.000112982,0.09,0,1,0,0.083333333,,65.62647249,87.47066721,-5.413218574,-0.380276456,0.000254298,0,0.00226328,0.357171891,0.076923077,0.999632749,0.999632749,0.999632749,0.002839854,65.41702328,0.007390346,0.015137054,0.357171891,0,0.001497071,0.147722679,65.39299881,0.013623541,0,0.00124294,0,-0.392079893,0,0
10,1,10,57,0.0015996,0.012,0.000112868,0.09,0,1,0,0.083333333,,65.39299881,87.43854351,-5.413218574,-0.385172197,0.000253054,0,0.00226328,0.357040719,0.076923077,0.999634106,0.999634106,0.999634106,0.002838811,65.18315265,0.007356517,0.015009176,0.357040719,0,0.001484424,0.14719456,65.15930253,0.013574855,0,0.001237892,0,-0.391743376,0,0
11,1,11,57,0.0015996,0.012,0.000112754,0.09,0,1,0,0.083333333,,65.15930253,87.40655028,-5.413218574,-0.390110404,0.000251806,0,0.00226328,0.35691008,0.076923077,0.999635468,0.999635468,0.999635468,0.002837772,64.94905839,0.007322724,0.014881503,0.35691008,0,0.001471797,0.146665936,64.92538236,0.013526121,0,0.001232834,0,-0.391407595,0,0
12,1,12,57,0.0015996,0.012,0.000112641,0.09,0,1,0,0.083333333,,64.92538236,87.37468778,-5.413218574,-0.395091619,0.000250553,0.015,0.00226328,0.356779975,0.076923077,0.979457602,0.999636834,0.999636834,0.002836738,64.71473919,0.007286921,0.014749901,0.356779975,1.305900317,0.001458781,0.146136803,63.38534327,0.01320528,0,0.001227766,0,-0.390794312,0,0
13,2,1,58,0.0018,0.012,0.000126635,0.09,0.05,1,0,0.083333333,,63.38534327,87.34295626,-4.983738106,-0.400116393,0.000383315,0,0.00226328,0.356650405,0.071428571,0.999490098,0.999490098,0.999490098,0.002835707,63.17134442,0.007998947,0.022142076,0.356650405,0,0.002070145,0.142651557,63.13913326,0.013153986,0,0,0.316926716,-0.716872129,0,0
14,2,2,58,0.0018,0.012,0.000126508,0.09,0.05,1,0,0.083333333,,63.13913326,87.29841995,-4.983738106,-0.437373687,0.000369268,0,0.00226328,0.356468548,0.071428571,0.999504271,0.999504271,0.999504271,0.002834261,62.92475943,0.007959714,0.021247411,0.356468548,0,0.001986499,0.142094727,62.89356581,0.013102826,0,0,0,-0.398778499,0,0
15,2,3,58,0.0018,0.012,0.00012638,0.09,0.05,1,0,0.083333333,,62.89356581,87.2551436,-4.983738106,-0.44277536,0.000367275,0,0.00226328,0.356291836,0.071428571,0.999506391,0.999506391,0.999506391,0.002832856,62.67881331,0.007920626,0.021050123,0.356291836,0,0.001968054,0.141539339,62.64787451,0.013051641,0,0,0,-0.398314225,0,0
16,2,4,58,0.0018,0.012,0.000126253,0.09,0.05,1,0,0.083333333,,62.64787451,87.21207371,-4.983738106,-0.448226105,0.000365274,0,0.00226328,0.356115968,0.071428571,0.999508519,0.999508519,0.999508519,0.002831458,62.43274221,0.007881593,0.020853279,0.356115968,0,0.00194965,0.140983669,62.40205769,0.013000429,0,0,0,-0.397851269,0,0
