Projection month,Policy year,Month in policy year,Attained age,Baseline mortality,Mortality improvement,Final mortality,Surrender charge,FPW %,GLWB activated,Non-systematic PWD rate,Lapse skew,Premium,BOP AV,BOP Benefit base,Base component,Dynamic component,Final lapse rate,Rider charge,Credited rate,Systematic withdrawal,Rollup rate,AV persistency,BB persistency,Lives persistency,Lives,Pre-decrement AV,Mortality,Lapse,PWD,Rider charges,Surrender charges,Interest credits,EOP AV,Expenses,Commission,Chargebacks,Bonus comp,Total net cashflow,Net index credit reimbursement,Hedge gains
1,1,1,57,0.0015996,0.012,0.000113895,0.09,0,0,0,0.083333333,58.66868425,58.66868425,76.26928952,-5.012775511,-0.347151629,0,0,0,0,0.076923077,0.999886105,0.999886105,0.999886105,0.00273222,58.66868425,0.006682083,0,0,0,0,0,58.66200216,0.01222125,5.902069635,0.000672218,0,52.74838349,0,0.000212951
2,1,2,57,0.0015996,0.012,0.000113781,0.09,0,0,0,0.083333333,,58.66200216,76.26060281,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493647,0.999493647,0.999493647,0.002731909,58.66200216,0.006674011,0.02095702,0,0,0.002072672,0,58.63229846,0.012215062,0,0.002988193,0,-0.036857901,0,0.000946628
3,1,3,57,0.0015996,0.012,0.000113666,0.09,0,0,0,0.083333333,,58.63229846,76.221988,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493761,0.999493761,0.999493761,0.002730525,58.63229846,0.00666392,0.02094641,0,0,0.002071623,0,58.60261651,0.012208878,0,0.002986004,0,-0.036833204,0,0.000957016
4,1,4,57,0.0015996,0.012,0.000113552,0.09,0,0,0,0.083333333,,58.60261651,76.18340146,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999493875,0.999493875,0.999493875,0.002729143,58.60261651,0.006653845,0.020935808,0,0,0.002070574,0,58.57295628,0.012202699,0,0.002983819,0,-0.036808533,0,0.000967519
5,1,5,57,0.0015996,0.012,0.000113438,0.09,0,0,0,0.083333333,,58.57295628,76.14484316,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.99949399,0.99949399,0.99949399,0.002727762,58.57295628,0.006643787,0.020925213,0,0,0.002069527,0,58.54331775,0.012196525,0,0.002981636,0,-0.036783888,0,0.000978137
6,1,6,57,0.0015996,0.012,0.000113323,0.09,0,0,0,0.083333333,,58.54331775,76.10631308,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494104,0.999494104,0.999494104,0.002726382,58.54331775,0.006633744,0.020914626,0,0,0.002068479,0,58.5137009,0.012190354,0,0.002979455,0,-0.036759269,0,0.000988872
7,1,7,57,0.0015996,0.012,0.000113209,0.09,0,0,0,0.083333333,,58.5137009,76.06781117,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494218,0.999494218,0.999494218,0.002725002,58.5137009,0.006623717,0.020904047,0,0,0.002067433,0,58.48410571,0.012184189,0,0.001488638,0,-0.038223314,0,0.000999725
8,1,8,57,0.0015996,0.012,0.000113095,0.09,0,0,0,0.083333333,,58.48410571,76.02933742,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494332,0.999494332,0.999494332,0.002723624,58.48410571,0.006613706,0.020893475,0,0,0.002066388,0,58.45453214,0.012178028,0,0.001487551,0,-0.038197659,0,0.001010698
9,1,9,57,0.0015996,0.012,0.000112982,0.09,0,0,0,0.083333333,,58.45453214,75.99089178,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494445,0.999494445,0.999494445,0.002722247,58.45453214,0.006603711,0.020882912,0,0,0.002065343,0,58.42498017,0.012171871,0,0.001486464,0,-0.03817203,0,0.001021791
10,1,10,57,0.0015996,0.012,0.000112868,0.09,0,0,0,0.083333333,,58.42498017,75.95247422,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494559,0.999494559,0.999494559,0.002720871,58.42498017,0.006593732,0.020872356,0,0,0.002064299,0,58.39544978,0.012165719,0,0.001485378,0,-0.038146428,0,0.001033007
11,1,11,57,0.0015996,0.012,0.000112754,0.09,0,0,0,0.083333333,,58.39544978,75.91408472,-5.012775511,-0.347151629,0.000392617,0,0,0,0.076923077,0.999494672,0.999494672,0.999494672,0.002719495,58.39544978,0.006583769,0.020861807,0,0,0.002063256,0,58.36594095,0.012159571,0,0.001484294,0,-0.038120853,0,0.001044345
